Domain Name,Record Name,Record Type,Record Value
electriccolour.club,_73cbe053f23ac877506f9f8f8850fcf9.electriccolour.club.,CNAME,_b568498cd403856b575d515ec5689068.zdxcnfdgtt.acm-validations.aws.
*.electriccolour.club,_73cbe053f23ac877506f9f8f8850fcf9.electriccolour.club.,CNAME,_b568498cd403856b575d515ec5689068.zdxcnfdgtt.acm-validations.aws.
